wavelength(nm) ph/sec/arcsec^2/um/m^2
522.334454 153.015
522.360571 152.976
522.38669 152.941
522.41281 152.905
522.438931 152.87
522.465054 152.835
522.491177 152.8
522.517303 152.764
522.543429 152.729
522.569557 665.065
522.595686 152.659
522.621817 152.623
522.647948 152.618
522.674081 152.683
522.700216 152.748
522.726351 152.813
522.752488 152.877
522.778627 152.942
522.804766 153.007
522.830907 153.071
522.857049 153.136
522.883193 153.201
522.909338 153.266
522.935484 153.33
522.961631 153.395
522.98778 153.46
523.01393 153.525
523.040081 153.59
523.066234 153.654
523.092388 153.719
523.118543 153.784
523.1447 153.849
523.170858 153.914
523.197017 153.979
523.223177 154.043
523.249339 154.108
523.275502 154.173
523.301667 154.238
523.327832 154.303
523.354 366.487
523.380168 154.432
523.406338 154.497
523.432509 154.562
523.458681 154.627
523.484854 154.692
523.511029 154.757
523.537205 154.822
523.563383 154.874
523.589562 154.952
523.615742 155.017
523.641923 155.081
523.668106 155.135
523.69429 155.201
523.720476 155.265
523.746662 155.326
523.77285 155.384
523.79904 155.442
523.82523 155.499
523.851422 155.557
523.877615 155.614
523.90381 155.671
523.930006 155.729
523.956203 155.79
523.982401 155.851
524.008601 822.81
524.034802 227.404
524.061005 156.033
524.087208 156.094
524.113413 156.155
524.13962 156.209
524.165827 156.198
524.192036 156.338
524.218246 156.374
524.244458 156.46
524.270671 156.521
524.296885 156.573
524.323101 156.637
524.349317 156.694
524.375535 156.745
524.401755 156.801
524.427976 156.866
524.454198 156.924
524.480421 156.966
524.506646 157.038
524.532872 157.107
524.559099 157.168
524.585328 157.229
524.611558 157.286
524.637789 157.351
524.664021 157.335
524.690255 157.381
524.71649 157.381
524.742727 157.383
524.768965 157.384
524.795204 157.366
524.821444 157.379
524.847686 157.366
524.873929 157.378
524.900173 157.375
524.926419 157.372
524.952666 157.37
524.978914 157.352
525.005164 157.368
525.031415 157.369
525.057667 157.37
525.083921 157.371
525.110175 157.372
525.136432 373.821
525.162689 157.313
525.188948 157.375
525.215208 157.377
525.241469 157.378
525.267732 157.379
525.293996 157.358
525.320261 157.381
525.346528 157.382
525.372796 157.371
525.399065 157.384
525.425336 157.385
525.451608 157.386
525.477881 157.335
525.504156 157.387
525.530432 157.385
525.556709 157.382
525.582987 206.017
525.609267 157.377
525.635548 157.375
525.661831 157.304
525.688114 157.153
525.714399 157.004
525.740686 578.195
525.766974 664.447
525.793263 156.557
525.819553 232.016
525.845844 156.258
525.872137 156.109
525.898432 155.96
525.924727 155.811
525.951024 155.662
525.977322 155.512
526.003622 155.363
526.029923 155.214
526.056225 155.061
526.082528 154.908
526.108833 154.755
526.135139 154.602
526.161447 154.449
526.187755 154.296
526.214065 154.145
526.240377 153.995
526.266689 283.29
526.293003 153.696
526.319319 153.547
526.345635 153.397
526.371953 153.247
526.398273 153.098
526.424593 152.948
526.450915 152.799
526.477238 152.649
526.503563 152.499
526.529889 152.35
526.556216 152.2
526.582544 152.047
526.608874 151.893
526.635205 151.74
526.661538 151.705
526.687871 151.823
526.714206 151.94
526.740543 152.059
526.76688 152.18
526.793219 152.252
526.81956 152.39
526.845901 152.543
526.872244 152.664
526.898589 152.785
526.924934 152.904
526.951281 153.022
526.977629 153.139
527.003979 153.257
527.03033 153.375
527.056682 153.49
527.083035 153.61
527.10939 153.731
527.135746 153.852
527.162104 153.973
527.188462 154.094
527.214823 154.216
527.241184 154.336
527.267547 154.456
527.293911 154.579
527.320276 154.7
527.346643 154.822
527.373011 154.943
527.39938 155.064
527.425751 155.186
527.452123 155.307
527.478496 155.428
527.50487 155.55
527.531246 155.671
527.557624 155.792
527.584002 155.914
527.610382 156.035
527.636763 156.153
527.663146 344.24
527.689529 156.303
527.715915 156.365
527.742301 156.426
527.768689 326.082
527.795078 309.123
527.821468 156.614
527.84786 156.661
527.874253 156.744
527.900648 156.809
527.927043 156.873
527.95344 156.938
527.979839 157.003
528.006238 157.068
528.032639 157.132
528.059041 157.197
528.085445 157.262
528.11185 157.327
528.138256 157.392
528.164664 157.453
528.191073 157.514
528.217483 157.575
528.243894 157.637
528.270307 157.698
528.296722 157.759
528.323137 157.822
528.349554 157.887
528.375972 157.951
528.402391 158.016
528.428812 158.081
528.455234 158.146
528.481658 158.211
528.508082 158.273
528.534509 158.341
528.560936 158.406
528.587365 158.47
528.613795 158.524
528.640226 158.6
528.666659 158.645
528.693093 158.678
528.719528 158.712
528.745965 158.745
528.772403 158.778
528.798842 158.811
528.825282 158.844
528.851724 158.878
528.878168 158.911
528.904612 158.944
528.931058 158.924
528.957505 159.01
528.983954 159.044
529.010404 159.077
529.036855 159.11
529.063307 159.143
529.089761 159.176
529.116216 159.21
529.142673 159.243
529.169131 159.276
529.19559 159.268
529.22205 159.333
529.248512 159.368
529.274975 159.398
529.301439 159.427
529.327905 159.457
529.354372 159.487
529.380841 159.518
529.40731 159.551
529.433781 159.584
529.460254 159.618
529.486727 159.651
529.513202 159.684
529.539679 251.137
529.566156 164.504
529.592635 159.784
529.619116 159.817
529.645597 159.85
529.67208 159.891
529.698564 159.933
529.72505 159.974
529.751537 160.016
529.778025 160.058
529.804515 160.1
529.831006 160.142
529.857498 160.184
529.883991 160.226
529.910486 160.259
529.936982 160.31
529.96348 160.352
529.989979 336.492
530.016479 160.435
530.04298 160.476
530.069483 267.223
530.095987 267.256
530.122493 160.6
530.149 160.642
530.175508 160.683
530.202017 160.725
530.228528 160.766
530.25504 160.807
530.281553 160.849
530.308068 160.89
530.334584 160.931
530.361102 160.973
530.38762 161.014
530.41414 161.056
530.440662 161.093
530.467184 161.138
530.493709 161.18
530.520234 161.221
530.546761 161.263
530.573289 161.304
530.599818 161.345
530.626349 161.387
530.65288 161.427
530.679414 161.453
530.705948 161.479
530.732484 161.505
530.759022 161.531
530.78556 161.557
530.8121 273.41
530.838642 161.609
530.865184 161.635
530.891728 161.662
530.918273 161.688
530.94482 161.714
530.971368 161.741
530.997917 161.771
531.024468 161.801
531.051019 161.831
531.077573 161.861
531.104127 161.891
531.130683 161.92
531.15724 161.947
531.183799 161.974
531.210359 162
531.23692 162.026
531.263482 162.052
531.290046 162.078
531.316611 226.213
531.343178 162.13
531.369746 162.157
531.396315 162.183
531.422885 162.209
531.449457 162.235
531.47603 459.976
531.502605 162.287
531.52918 162.313
531.555758 162.34
531.582336 162.366
531.608916 162.392
531.635497 162.418
531.662079 162.382
531.688663 162.275
531.715248 162.169
531.741835 162.062
531.768422 161.956
531.795012 161.849
531.821602 161.743
531.848194 161.636
531.874787 161.526
531.901381 161.415
531.927977 161.305
531.954574 161.195
531.981172 161.084
532.007772 160.974
532.034373 160.865
532.060976 160.759
532.087579 160.652
532.114184 160.545
532.140791 160.439
532.167398 160.332
532.194007 213.543
532.220618 160.115
532.247229 160.005
532.273842 159.894
532.300457 159.784
532.327073 159.673
532.35369 159.563
532.380308 159.453
532.406928 159.346
532.433549 159.239
532.460171 159.132
532.486795 159.025
532.51342 158.918
532.540046 158.811
532.566674 158.704
532.593303 216.933
532.619933 158.489
532.646565 158.382
532.673198 195.594
532.699832 201.019
532.726468 158.727
532.753105 158.849
532.779743 158.97
532.806383 159.092
532.833024 159.213
532.859666 159.334
532.88631 159.456
532.912954 159.577
532.939601 159.702
532.966248 159.827
532.992897 159.952
533.019548 160.077
533.046199 160.203
533.072852 160.328
533.099507 160.711
533.126162 196.638
533.152819 160.703
533.179478 632.259
533.206137 170.5
533.232798 234.53
533.259461 161.204
533.286124 161.329
533.312789 161.454
533.339455 161.58
533.366123 161.705
533.392792 161.83
533.419462 161.956
533.446134 162.081
533.472807 162.206
533.499481 162.332
533.526157 162.457
533.552834 162.583
533.579512 162.708
533.606192 162.834
533.632873 162.959
533.659555 163.032
533.686239 163.011
533.712924 162.99
533.73961 162.968
533.766298 162.947
533.792987 162.926
533.819677 162.905
533.846369 162.883
533.873062 162.862
533.899756 162.841
533.926452 162.819
533.953149 162.798
533.979847 162.777
534.006547 162.755
534.033248 162.734
534.05995 162.713
534.086654 162.691
534.113359 162.67
534.140065 162.649
534.166773 162.627
534.193482 162.606
534.220192 162.585
534.246904 162.563
534.273617 162.542
534.300331 162.521
534.327047 162.499
534.353764 162.478
534.380482 162.456
534.407202 162.435
534.433923 162.414
534.460645 162.392
534.487369 162.371
534.514094 162.35
534.54082 162.332
534.567548 162.314
534.594277 162.297
534.621007 204.551
534.647739 162.261
534.674472 162.365
534.701207 162.479
534.727942 162.591
534.754679 162.702
534.781418 162.814
534.808157 162.926
534.834899 163.038
534.861641 163.15
534.888385 163.262
534.91513 163.373
534.941876 163.485
534.968624 163.597
534.995373 163.709
535.022124 163.82
535.048875 163.931
535.075628 164.045
535.102383 164.16
535.129139 216.8
535.155896 217.462
535.182654 164.503
535.209414 164.617
535.236175 164.73
535.262938 164.841
535.289701 164.952
535.316467 165.063
535.343233 165.173
535.370001 165.284
535.39677 165.395
535.423541 165.506
535.450312 165.617
535.477086 165.728
535.50386 165.839
535.530636 165.949
535.557413 208.275
535.584192 166.172
535.610972 208.498
535.637753 166.401
535.664535 166.424
535.691319 166.368
535.718105 166.312
535.744891 166.257
535.771679 166.199
535.798468 166.14
535.825259 166.08
535.852051 166.021
535.878844 165.961
535.905639 165.902
535.932435 165.842
535.959232 165.782
535.986031 165.723
536.012831 165.663
536.039632 165.604
536.066435 165.544
536.093239 165.484
536.120044 165.425
536.146851 165.365
536.173659 165.305
536.200468 165.246
536.227279 165.186
536.254091 165.126
536.280904 165.067
536.307719 165.007
536.334535 164.947
536.361352 164.887
536.388171 164.828
536.414991 164.768
536.441812 164.708
536.468635 164.648
536.495459 164.591
536.522285 164.535
536.549112 164.479
536.57594 164.423
536.602769 164.367
536.6296 164.311
536.656432 164.275
536.683266 164.304
536.7101 164.333
536.736937 164.361
536.763774 164.39
536.790613 164.419
536.817453 164.448
536.844295 164.476
536.871138 164.505
536.897982 164.534
536.924827 164.563
536.951674 164.591
536.978523 164.62
537.005372 164.649
537.032223 164.678
537.059075 164.707
537.085929 164.735
537.112784 164.764
537.13964 164.792
537.166498 164.822
537.193357 164.85
537.220217 164.879
537.247079 164.908
537.273942 164.937
537.300806 164.966
537.327672 164.994
537.354539 165.023
537.381407 165.052
537.408277 165.081
537.435148 165.11
537.462021 165.139
537.488895 165.167
537.51577 165.196
537.542646 165.225
537.569524 165.254
537.596403 165.283
537.623284 165.311
537.650165 165.34
537.677049 165.377
537.703933 165.413
537.730819 165.449
537.757706 165.486
537.784595 165.522
537.811485 165.559
537.838376 165.595
537.865268 165.631
537.892162 165.668
537.919058 165.704
537.945954 165.741
537.972852 165.777
537.999752 165.813
538.026652 165.85
538.053554 165.886
538.080458 165.923
538.107362 165.956
538.134268 165.989
538.161176 166.021
538.188084 166.054
538.214995 166.087
538.241906 166.119
538.268819 166.153
538.295733 166.189
538.322648 166.225
538.349565 166.262
538.376483 166.298
538.403403 166.335
538.430324 166.356
538.457246 166.408
538.484169 166.444
538.511094 166.481
538.53802 166.517
538.564948 166.554
538.591877 166.59
538.618807 166.627
538.645739 166.663
538.672672 166.645
538.699606 166.617
538.726542 166.55
538.753479 166.561
538.780417 166.523
538.807357 166.504
538.834298 166.472
538.86124 166.44
538.888184 166.408
538.915129 166.376
538.942075 166.344
538.969023 166.307
538.995972 166.282
539.022923 166.254
539.049875 166.225
539.076828 166.197
539.103782 166.169
539.130738 166.141
539.157695 166.112
539.184654 166.021
539.211614 166.042
539.238575 166.017
539.265538 165.985
539.292502 165.953
539.319467 165.921
539.346434 165.889
539.373402 165.861
539.400371 165.832
539.427342 165.785
539.454314 165.776
539.481287 165.747
