wavelength(nm) transmission
514.274978 0.821942
514.300692 0.821967
514.326408 0.821992
514.352125 0.822017
514.377843 0.822042
514.403562 0.822066
514.429283 0.822091
514.455005 0.822116
514.480729 0.822141
514.506453 0.822165
514.532179 0.82219
514.557907 0.822215
514.583635 0.82224
514.609365 0.822246
514.635096 0.822252
514.660829 0.822258
514.686562 0.822264
514.712297 0.822271
514.738033 0.822277
514.763771 0.822283
514.78951 0.822289
514.81525 0.822295
514.840991 0.8223
514.866734 0.822306
514.892478 0.822312
514.918223 0.822318
514.94397 0.822337
514.969718 0.822361
514.995467 0.822386
515.021217 0.822411
515.046969 0.822435
515.072722 0.82246
515.098476 0.822485
515.124232 0.822491
515.149989 0.822497
515.175747 0.822503
515.201506 0.822509
515.227267 0.822515
515.253029 0.822521
515.278792 0.822532
515.304557 0.822557
515.330323 0.822582
515.35609 0.822606
515.381858 0.822631
515.407628 0.822656
515.433399 0.82268
515.459171 0.822705
515.484945 0.822729
515.51072 0.822754
515.536496 0.822779
515.562274 0.822803
515.588052 0.822828
515.613832 0.822852
515.639614 0.822858
515.665396 0.822864
515.69118 0.82287
515.716965 0.822876
515.742752 0.822882
515.76854 0.822888
515.794329 0.8229
515.820119 0.822924
515.845911 0.822949
515.871704 0.822973
515.897498 0.822998
515.923293 0.823022
515.94909 0.823047
515.974888 0.823071
516.000688 0.823096
516.026488 0.82312
516.05229 0.823145
516.078094 0.823169
516.103898 0.823194
516.129704 0.823218
516.155511 0.823224
516.18132 0.82323
516.207129 0.823236
516.23294 0.823242
516.258753 0.823247
516.284566 0.823253
516.310381 0.823265
516.336197 0.823289
516.362015 0.823314
516.387833 0.823338
516.413654 0.823363
516.439475 0.823387
516.465297 0.823412
516.491121 0.823424
516.516947 0.823429
516.542773 0.823435
516.568601 0.823441
516.59443 0.823446
516.62026 0.823452
516.646092 0.823458
516.671925 0.823482
516.697759 0.823507
516.723595 0.823531
516.749432 0.823556
516.77527 0.82358
516.801109 0.823604
516.82695 0.823629
516.852792 0.823653
516.878635 0.823677
516.90448 0.823702
516.930325 0.823726
516.956173 0.823751
516.982021 0.823775
517.007871 0.823787
517.033722 0.823793
517.059574 0.823798
517.085428 0.823804
517.111283 0.823809
517.137139 0.823815
517.162996 0.82382
517.188855 0.823845
517.214715 0.823869
517.240577 0.823893
517.266439 0.823918
517.292303 0.823942
517.318169 0.823966
517.344035 0.823991
517.369903 0.824015
517.395772 0.824039
517.421643 0.824064
517.447514 0.824088
517.473387 0.824112
517.499262 0.824136
517.525137 0.824148
517.551014 0.824154
517.576892 0.824159
517.602772 0.824165
517.628653 0.82417
517.654535 0.824176
517.680418 0.824181
517.706303 0.824205
517.732189 0.82423
517.758076 0.824254
517.783965 0.824278
517.809854 0.824302
517.835746 0.824327
517.861638 0.824345
517.887532 0.82435
517.913427 0.824356
517.939323 0.824361
517.965221 0.824367
517.99112 0.824372
518.01702 0.824378
518.042921 0.824395
518.068824 0.824419
518.094728 0.824444
518.120634 0.824468
518.14654 0.824492
518.172448 0.824516
518.198357 0.82454
518.224268 0.824546
518.25018 0.824551
518.276093 0.824556
518.302007 0.824562
518.327923 0.824567
518.35384 0.824573
518.379759 0.824584
518.405678 0.824608
518.431599 0.824633
518.457521 0.824657
518.483445 0.824681
518.50937 0.824705
518.535296 0.824729
518.561223 0.824753
518.587152 0.824777
518.613082 0.824801
518.639013 0.824825
518.664946 0.82485
518.69088 0.824874
518.716815 0.824894
518.742751 0.824903
518.768689 0.824909
518.794628 0.824914
518.820569 0.824919
518.84651 0.824924
518.872453 0.82493
518.898398 0.824941
518.924343 0.824965
518.95029 0.824989
518.976238 0.825013
519.002188 0.825037
519.028138 0.825061
519.054091 0.825085
519.080044 0.825097
519.105999 0.825102
519.131954 0.825107
519.157912 0.825113
519.18387 0.825118
519.20983 0.825123
519.235791 0.825128
519.261754 0.825152
519.287717 0.825176
519.313682 0.8252
519.339649 0.825224
519.365616 0.825248
519.391585 0.825272
519.417556 0.82529
519.443527 0.825295
519.4695 0.8253
519.495474 0.825305
519.521449 0.825311
519.547426 0.825316
519.573404 0.825321
519.599384 0.825339
519.625364 0.825362
519.651346 0.825386
519.677329 0.82541
519.703314 0.825434
519.7293 0.825458
519.755287 0.825482
519.781275 0.825506
519.807265 0.82553
519.833256 0.825554
519.859248 0.825578
519.885242 0.825602
519.911237 0.825626
519.937233 0.825643
519.96323 0.825648
519.989229 0.825653
520.015229 0.825658
520.041231 0.825663
520.067234 0.825669
520.093238 0.825674
520.119243 0.825679
520.145249 0.825684
520.171257 0.825689
520.197267 0.825694
520.223277 0.825699
520.249289 0.825704
520.275302 0.825709
520.301316 0.825733
520.327332 0.825757
520.353349 0.82578
520.379367 0.825804
520.405387 0.825828
520.431408 0.825852
520.45743 0.825869
520.483454 0.825874
520.509479 0.825879
520.535505 0.825884
520.561532 0.825889
520.587561 0.825894
520.613591 0.825899
520.639622 0.825904
520.665655 0.825909
520.691689 0.825914
520.717724 0.825919
520.743761 0.825924
520.769798 0.825929
520.795838 0.825933
520.821878 0.825938
520.84792 0.825943
520.873963 0.825948
520.900007 0.825953
520.926053 0.825958
520.9521 0.825963
520.978148 0.825975
521.004198 0.825998
521.030248 0.826022
521.056301 0.826046
521.082354 0.82607
521.108409 0.826093
521.134465 0.826117
521.160522 0.826128
521.186581 0.826133
521.212641 0.826137
521.238702 0.826142
521.264765 0.826147
521.290829 0.826152
521.316894 0.826157
521.34296 0.826161
521.369028 0.826166
521.395097 0.826171
521.421168 0.826176
521.447239 0.826181
521.473312 0.826186
521.499387 0.82619
521.525462 0.826195
521.551539 0.8262
521.577617 0.826205
521.603697 0.82621
521.629778 0.826215
521.65586 0.826219
521.681943 0.826224
521.708028 0.826229
521.734114 0.826234
521.760202 0.826238
521.78629 0.826243
521.81238 0.826248
521.838471 0.826253
521.864564 0.826257
521.890658 0.826262
521.916753 0.826267
521.94285 0.826272
521.968947 0.826276
521.995047 0.826281
522.021147 0.826292
522.047249 0.826316
522.073352 0.82634
522.099456 0.826363
522.125562 0.826387
522.151669 0.82641
522.177777 0.826434
522.203886 0.826431
522.229997 0.826417
522.256109 0.826403
522.282223 0.826389
522.308338 0.826375
522.334454 0.82636
522.360571 0.826347
522.38669 0.826351
522.41281 0.826356
522.438931 0.82636
522.465054 0.826365
522.491177 0.82637
522.517303 0.826374
522.543429 0.826379
522.569557 0.826383
522.595686 0.826388
522.621817 0.826393
522.647948 0.826397
522.674081 0.826402
522.700216 0.826406
522.726351 0.826411
522.752488 0.826415
522.778627 0.82642
522.804766 0.826425
522.830907 0.826429
522.857049 0.826434
522.883193 0.826438
522.909338 0.826443
522.935484 0.826447
522.961631 0.826452
522.98778 0.826457
523.01393 0.826461
523.040081 0.826466
523.066234 0.82647
523.092388 0.826475
523.118543 0.826479
523.1447 0.826484
523.170858 0.826488
523.197017 0.826493
523.223177 0.826497
523.249339 0.826502
523.275502 0.826506
523.301667 0.826511
523.327832 0.826515
523.354 0.826519
523.380168 0.826524
523.406338 0.826528
523.432509 0.826533
523.458681 0.826537
523.484854 0.826542
523.511029 0.826546
523.537205 0.826551
523.563383 0.826489
523.589562 0.82656
523.615742 0.826564
523.641923 0.826568
523.668106 0.826527
523.69429 0.826559
523.720476 0.826581
523.746662 0.826586
523.77285 0.826577
523.79904 0.826562
523.82523 0.826548
523.851422 0.826533
523.877615 0.826519
523.90381 0.826505
523.930006 0.826491
523.956203 0.826495
523.982401 0.8265
524.008601 0.826504
524.034802 0.826508
524.061005 0.826513
524.087208 0.826517
524.113413 0.826522
524.13962 0.826486
524.165827 0.826108
524.192036 0.826534
